step,train_loss,val_loss,val_ppl
0,85.97064971923828,84.13090942382813,3.4481783463473837e+36
50,29.73265838623047,28.043911304473877,1511179072050.171
100,22.031042098999023,20.812917747497558,1093793479.4626603
150,18.458572387695312,17.485921058654785,39268022.10240198
200,14.224184036254883,15.287152633666992,4356382.7812903775
250,11.923270225524902,13.727933340072632,916148.1258927799
300,12.886430740356445,12.539059371948243,279025.75599814707
350,10.242905616760254,11.676739892959596,117799.56917791253
400,13.299745559692383,11.166237850189209,70702.61582852161
450,12.700961112976074,10.417077531814575,33425.60599554341
500,9.099642753601074,9.995834140777587,21934.897501872958
550,8.863997459411621,9.535077686309814,13836.671287157145
600,6.851513385772705,9.11991900920868,9135.461698189796
650,7.881648063659668,8.616095752716065,5519.793630073736
700,8.415628433227539,8.175280594825745,3552.0514713879343
750,7.783107757568359,7.730822672843933,2277.47504718581
800,8.756667137145996,7.337182087898254,1536.376633725366
850,8.513229370117188,7.025383377075196,1124.8257087437396
900,6.535264015197754,6.486512622833252,656.230843638217
950,4.926902770996094,6.059708137512207,428.25042838210555
1000,5.748333930969238,5.537266049385071,253.98267331209928
1050,6.37197732925415,5.067143058776855,158.72022462709816
1100,7.769912242889404,4.639099099636078,103.45110644965318
1150,4.205288887023926,4.1499199032783505,63.428919646132826
1200,3.457379102706909,3.7787958002090454,43.76331022328572
1250,3.996922254562378,3.368726944923401,29.041532044647163
1300,2.4634902477264404,2.927098355293274,18.673368329609517
1350,4.147630214691162,2.576232635974884,13.147513272322776
1400,1.3657073974609375,2.2362648749351504,9.358311462735054
1450,1.7528181076049805,1.9431106853485107,6.980431157963992
1500,1.8718829154968262,1.7245894408226012,5.610217230631357
1550,1.0858420133590698,1.6108428585529326,5.007029667589953
1600,1.2190701961517334,1.5099694538116455,4.526592522054635
1650,1.1183415651321411,1.4635348260402679,4.321207279411391
1700,0.6663358211517334,1.412294578552246,4.105364686532785
1750,1.350855827331543,1.332592316865921,3.7908577656058733
1800,0.9468874335289001,1.2838240146636963,3.610419659161858
1850,0.7762748003005981,1.2338528525829315,3.4344364551636417
1900,1.3780773878097534,1.220846911072731,3.3900575955057244
1950,0.5422641038894653,1.1852085500955583,3.2713689946462785
2000,1.3184481859207153,1.1582473421096802,3.1843473109630747
2050,0.9620890617370605,1.1610213440656663,3.1931929598835933
2100,1.2968683242797852,1.157868789434433,3.183142095902679
2150,1.021360158920288,1.1325473272800446,3.103552202576733
2200,0.9180387854576111,1.083727701306343,2.95567692159631
2250,0.7332004308700562,1.110180578827858,3.034906384794083
2300,0.8793016076087952,1.0837719935178756,2.9558078379630093
2350,0.8855092525482178,1.0553154420852662,2.872881238633841
2400,0.4702523648738861,1.0362968796491623,2.8187594579941186
2450,1.1842443943023682,1.04726416349411,2.849843736542683
